#,ID ustanove,Univerzitet,Naziv ustanove,Tip ustanove,ID programa,Naziv programa,Zvanje,Polje,Nivo,Školarina za domaće studente,Školarina za strane studente,Broj ESPB bodova,Broj rešenja akreditacije,Datum rešenja akreditacije,Akreditaciona kvota,Broj budžetskih studenata - prva godina,Broj budžetskih studenata - druga godina,Broj budžetskih studenata - treća godina,Broj budžetskih studenata - četvrta godina,Broj budžetskih studenata - peta godina,Broj budžetskih studenata - šesta godina,Broj samofinansirajući studenata - prva godina,Broj samofinansirajući studenata - druga godina,Broj samofinansirajući studenata - treća godina,Broj samofinansirajući studenata - četvrta godina,Broj samofinansirajući studenata - peta godina,Broj samofinansirajući studenata - šesta godina,Broj stranih studenata - prva godina,Broj stranih studenata - druga godina,Broj stranih studenata - treća godina,Broj stranih studenata - četvrta godina,Broj stranih studenata - peta godina,Broj stranih studenata - šesta godina,Broj svršenih studenata tokom prethodne školske godine,Broj prijavljenih kandidata na upisu u narednu školsku godinu - I rok,Broj prijavljenih kandidata na upisu u narednu školsku godinu - II rok,Broj budžetskih studenata,Broj samofinansirajućih studenata,Broj stranih studenata,Broj studenata,Dužina trajanja programa (u semestrima),Dužina trajanja programa (u god),Broj prijavljenih kandidata,Studenti prva godina,Studenti druga godina,Studenti treća godina,Studenti četvrta godina,Studenti peta godina,Studenti šesta godina,Polje_skraceno,Vlasnistvo,Broj studenata na zavrsnoj godini
943,66,Универзитет у Новом Саду,Пољопривредни факултет,Државни факултет,1185,Агротуризам и рурални развој,Дипломирани менаџер,Друштвено-хуманистичке науке,Основне академске,74800,2000,240,612-00-00677/2013-04,14/06/2016,50,20,7,21,40,,,2,7,3,53,,,0,0,0,0,,,7,15,3,88,65,0,153,8,4,18,22,14,24,93,,,DH,Државни факултет,93
951,32,Универзитет у Београду,Православни богословски факултет,Државни факултет,1192,Богословско катихетски програм,Дипломирани теолог - катихета,Друштвено-хуманистичке науке,Основне академске,105000,1000,240,612-00-00034/2014-04,20/06/2014,135,90,69,71,66,69,,15,46,58,199,,,,,,,,,68,93,3,365,318,0,683,8,4,96,,,,,,,DH,Државни факултет,
952,32,Универзитет у Београду,Православни богословски факултет,Државни факултет,1193,Богословско пастирски програм,Дипломирани теолог,Друштвено-хуманистичке науке,Основне академске,105000,1000,240,612-00-00034/2014-04,20/06/2014,95,60,49,31,28,41,,13,56,105,218,,,,,,,,,26,58,11,209,392,0,601,8,4,69,,,,,,,DH,Државни факултет,
962,70,Универзитет у Новом Саду,"Технички факултет Михајло Пупин, Зрењанин",Државни факултет,1219,информационе технологије,Дипломирани инжењер информационих технологија,"Интердисциплинарне, мултидисциплинарне, трансдисциплинарне (ИМТ) и двопредметне студије",Основне академске,80000,1500,240,114-022-450/2014-03,02/06/2014,80,56,55,46,63,,,30,10,8,5,,,0,0,0,0,,,55,77,7,220,53,0,273,8,4,84,86,65,54,68,,,IMT,Државни факултет,68
963,24,Универзитет у Београду,Рударско-геолошки факултет,Државни факултет,1218,Геологија,Геолог,Природно-математичке науке,Основне академске,57000,1150,180,612-00-00661/2013-04,14/06/2013,90,40,21,25,16,0,0,13,17,20,28,30,45,0,0,0,0,0,0,41,43,14,102,153,0,255,6,3,57,53,38,45,44,30,45,PM,Државни факултет,45
964,70,Универзитет у Новом Саду,"Технички факултет Михајло Пупин, Зрењанин",Државни факултет,1205,одевно инжењерство,Дипломирани инжењер технологије,Техничко-технолошке науке,Основне академске,80000,1500,240,114-022-450/2014-03,02/06/2014,50,23,15,19,31,,,0,3,0,2,,,0,0,0,0,,,14,18,5,88,5,0,93,8,4,23,23,18,19,33,,,TT,Државни факултет,33
966,70,Универзитет у Новом Саду,"Технички факултет Михајло Пупин, Зрењанин",Државни факултет,1207,машинско инжењерство,Дипломирани инжењер машинства,Техничко-технолошке науке,Основне академске,80000,1500,240,114-022-450/2014-03,02/06/2014,60,19,7,10,17,,,3,3,8,5,,,0,0,0,0,,,10,15,6,53,19,0,72,8,4,21,22,10,18,22,,,TT,Државни факултет,22
969,70,Универзитет у Новом Саду,"Технички факултет Михајло Пупин, Зрењанин",Државни факултет,1211,Инжењерство заштите животне средине,Дипломирани инжењер заштите животне средине,Техничко-технолошке науке,Основне академске,80000,1500,240,114-022-450/2014-03,02/06/2014,50,13,15,13,14,,,1,1,3,2,,,0,0,0,0,,,12,7,6,55,7,0,62,8,4,13,14,16,16,16,,,TT,Државни факултет,16
970,24,Универзитет у Београду,Рударско-геолошки факултет,Државни факултет,1213,Хидрогеологија,Дипломирани инжењер геологије,Техничко-технолошке науке,Основне академске,57000,1150,240,612-00-00661/2013-04,14/06/2013,36,16,13,19,24,11,0,4,11,10,7,6,35,0,0,0,1,0,0,25,17,4,83,73,1,157,8,4,21,20,24,29,32,17,35,TT,Државни факултет,32
971,70,Универзитет у Новом Саду,"Технички факултет Михајло Пупин, Зрењанин",Државни факултет,1215,инжењерски менаџмент,Дипломирани инжењер менаџмента,Техничко-технолошке науке,Основне академске,80000,1500,240,114-022-450/2014-03,02/06/2014,107,33,41,29,39,,,3,5,3,8,,,0,0,0,0,,,40,26,9,142,19,0,161,8,4,35,36,46,32,47,,,TT,Државни факултет,47
